host,hostName,hostListingCount,boroughCount,boroughs
2634160,Raul&Carol,17,6,"Kensington_and_Chelsea, Hammersmith_and_Fulham, Westminster, Lambeth, Hackney, Wandsworth"
263825202,Flexy,14,6,"Islington, Westminster, Camden, Hackney, Tower_Hamlets, Hammersmith_and_Fulham"
28886982,Fran,8,6,"Lambeth, Wandsworth, Hackney, Camden, Islington, Greenwich"
3691056,Galina & Roman,8,6,"Camden, Wandsworth, Westminster, Southwark, Tower_Hamlets, Hackney"
3875323,Lee,15,6,"Lambeth, Camden, Southwark, Westminster, Wandsworth, Lewisham"
40421915,Leo & Angelo,19,6,"Brent, Westminster, Camden, Islington, Kensington_and_Chelsea, Hammersmith_and_Fulham"
7258745,Caroline - My London Trip,34,6,"Kensington_and_Chelsea, Westminster, Brent, Camden, City_of_London, Islington"
72854398,Deepti,7,6,"Kensington_and_Chelsea, Tower_Hamlets, Islington, Westminster, Hackney, Camden"
77455943,Cindy,7,6,"Ealing, Lambeth, Hackney, Kensington_and_Chelsea, Islington, Southwark"
78404943,Chris,25,6,"Harrow, Camden, Kensington_and_Chelsea, Tower_Hamlets, Westminster, Croydon"
10388070,Richard,5,5,"Lewisham, Barnet, Tower_Hamlets, Waltham_Forest, Hounslow"
105003602,Alex,16,5,"Westminster, Camden, Kensington_and_Chelsea, Merton, Hackney"
10548134,David,13,5,"Tower_Hamlets, Kensington_and_Chelsea, Westminster, Newham, Southwark"
107890431,Stefano,7,5,"Wandsworth, Southwark, Islington, Camden, Hammersmith_and_Fulham"
10795222,Shady,15,5,"Tower_Hamlets, Westminster, Hammersmith_and_Fulham, Kensington_and_Chelsea, Islington"
109994436,Ed,66,5,"Westminster, Lambeth, Kensington_and_Chelsea, Camden, Barnet"
110643190,Christopher,8,5,"Westminster, Islington, Hackney, Southwark, Camden"
11570657,Elena,5,5,"Westminster, Tower_Hamlets, Camden, Hackney, Wandsworth"
119267530,Amy,20,5,"Southwark, Westminster, Tower_Hamlets, Lambeth, Islington"
1251704,Alice,68,5,"Westminster, Camden, Kensington_and_Chelsea, City_of_London, Islington"
131670745,Cristian,22,5,"Southwark, Hammersmith_and_Fulham, Hounslow, Wandsworth, Westminster"
133204013,Lorrayne,10,5,"Camden, Tower_Hamlets, Westminster, Southwark, Islington"
136793374,Sarah,7,5,"Croydon, Tower_Hamlets, Bromley, Lambeth, Greenwich"
138932380,Kingsley,52,5,"Westminster, Kensington_and_Chelsea, Camden, Hackney, Islington"
1425784,Cecile,61,5,"Southwark, Hackney, Camden, Tower_Hamlets, Lambeth"
144246094,Richard,22,5,"Kensington_and_Chelsea, Westminster, Camden, Wandsworth, Brent"
14517363,Adeel,12,5,"Newham, Southwark, Greenwich, Tower_Hamlets, Lewisham"
148075562,Alfred,68,5,"Westminster, Lambeth, Kensington_and_Chelsea, Camden, Barnet"
150125438,Tom,18,5,"Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Lambeth, Southwark"
15131437,Heritage Aparment Rentals,20,5,"Camden, Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Wandsworth"
15411688,Robin,29,5,"Hammersmith_and_Fulham, Kensington_and_Chelsea, Westminster, Hounslow, Lambeth"
16656623,Dayalan,21,5,"Ealing, Barnet, Brent, Kensington_and_Chelsea, Camden"
174121705,Ben,5,5,"Islington, Hammersmith_and_Fulham, Westminster, Lambeth, Kensington_and_Chelsea"
1797656,Ateeq,22,5,"Westminster, Greenwich, Hammersmith_and_Fulham, Camden, Kensington_and_Chelsea"
181417008,Ben,7,5,"Tower_Hamlets, Haringey, Southwark, Hammersmith_and_Fulham, Kensington_and_Chelsea"
183841172,Anke,15,5,"Westminster, Barking_and_Dagenham, Southwark, Bromley, Croydon"
193289997,Hari,12,5,"Westminster, Kensington_and_Chelsea, Lambeth, Southwark, Camden"
203336482,Gabriella,30,5,"Westminster, Camden, Brent, Hammersmith_and_Fulham, Hackney"
215019117,Bee My Guest,8,5,"Camden, Tower_Hamlets, Westminster, Hammersmith_and_Fulham, Southwark"
218352235,Sarah And John,5,5,"Hammersmith_and_Fulham, Wandsworth, Ealing, Newham, Islington"
2198860,Berry,21,5,"Tower_Hamlets, Westminster, Hammersmith_and_Fulham, Kensington_and_Chelsea, Islington"
220073388,Kelsey,29,5,"Southwark, Lambeth, Lewisham, Tower_Hamlets, Greenwich"
221016092,Millennium,7,5,"Hammersmith_and_Fulham, Tower_Hamlets, Lambeth, Westminster, Islington"
22121493,Alex,5,5,"Hounslow, Lambeth, Camden, Hillingdon, Westminster"
224866971,Sonder (London),114,5,"Westminster, Camden, Islington, Hackney, Kensington_and_Chelsea"
225018707,Stay,6,5,"Lambeth, Westminster, Islington, Camden, Hammersmith_and_Fulham"
23176511,Robert - Great Place To Stay,13,5,"Kensington_and_Chelsea, Wandsworth, Westminster, Hounslow, Ealing"
2550951,Rebekah,9,5,"Westminster, Hackney, Camden, Haringey, Waltham_Forest"
269240750,Archie & Lisa,6,5,"Ealing, Wandsworth, Islington, Brent, Lambeth"
27808855,Oliver,6,5,"Wandsworth, Tower_Hamlets, Kensington_and_Chelsea, Southwark, Hammersmith_and_Fulham"
33421573,Paula,12,5,"Westminster, Southwark, Camden, Tower_Hamlets, Lambeth"
36943329,Teodora,6,5,"Islington, Southwark, Lambeth, Hackney, Hammersmith_and_Fulham"
3747398,Skyfall,27,5,"Tower_Hamlets, Hackney, Westminster, Kensington_and_Chelsea, Wandsworth"
40428297,Gerald,11,5,"Camden, Kensington_and_Chelsea, Lambeth, Tower_Hamlets, City_of_London"
45441508,Harley,10,5,"Lambeth, Wandsworth, Kensington_and_Chelsea, Hammersmith_and_Fulham, Westminster"
46362642,Kelly,11,5,"Camden, Westminster, Southwark, Tower_Hamlets, Kensington_and_Chelsea"
47623866,Thinh,34,5,"Westminster, Kensington_and_Chelsea, Tower_Hamlets, Camden, Islington"
570672,Andy,15,5,"Westminster, City_of_London, Camden, Islington, Tower_Hamlets"
58828772,Panos,85,5,"Camden, Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Islington"
68183977,Luca,13,5,"Bromley, Westminster, Tower_Hamlets, Southwark, Hackney"
96036044,Monika,8,5,"Lewisham, Hackney, Southwark, Westminster, Enfield"
99058393,Sumeet,19,5,"Westminster, Tower_Hamlets, Hammersmith_and_Fulham, Kensington_and_Chelsea, Camden"
99733888,Robert & Team,12,5,"Southwark, Camden, Westminster, Kensington_and_Chelsea, Islington"
1009465,Serena,5,4,"Lambeth, Westminster, Kensington_and_Chelsea, Hammersmith_and_Fulham"
10301575,Robert,6,4,"Merton, Lambeth, Westminster, Kensington_and_Chelsea"
103394542,Ola,15,4,"Barnet, Westminster, Brent, Camden"
105908716,Angela Walker,22,4,"Kensington_and_Chelsea, Tower_Hamlets, Westminster, City_of_London"
113030835,Anthony,12,4,"Merton, Westminster, Lambeth, Wandsworth"
114635297,Lazer,6,4,"Hammersmith_and_Fulham, Hackney, Tower_Hamlets, Southwark"
119463580,Jean,30,4,"Camden, Southwark, Hackney, Tower_Hamlets"
120237007,Alberto,12,4,"Wandsworth, Islington, Camden, Hammersmith_and_Fulham"
120240035,Konnie,49,4,"Hackney, Newham, Lewisham, Kensington_and_Chelsea"
121684976,Justin,19,4,"Kensington_and_Chelsea, Westminster, Wandsworth, Camden"
12243051,Sonder,72,4,"Hackney, Islington, Camden, Westminster"
122890980,Sam,5,4,"Hackney, Brent, City_of_London, Camden"
124013560,Teresa,65,4,"Richmond_upon_Thames, Tower_Hamlets, City_of_London, Westminster"
128659370,Stephanie,60,4,"Hammersmith_and_Fulham, Westminster, Kensington_and_Chelsea, Wandsworth"
129604820,Satty,15,4,"Westminster, Tower_Hamlets, Hammersmith_and_Fulham, Camden"
131879863,Andrew,5,4,"Hammersmith_and_Fulham, Westminster, Southwark, Kensington_and_Chelsea"
134883983,Urai,8,4,"Tower_Hamlets, Wandsworth, Lewisham, Westminster"
135969957,Emran,98,4,"Hackney, Tower_Hamlets, Westminster, Islington"
139900567,Janet,6,4,"City_of_London, Ealing, Hackney, Tower_Hamlets"
140416243,Michela,4,4,"Hackney, Kensington_and_Chelsea, Tower_Hamlets, Southwark"
14183645,Edison,19,4,"Southwark, Lambeth, Lewisham, Westminster"
142504860,Chris & Sam,6,4,"Camden, Tower_Hamlets, City_of_London, Hackney"
142570782,Holiday,38,4,"Tower_Hamlets, Westminster, Hackney, Islington"
143758259,VacayHome Connect,10,4,"City_of_London, Tower_Hamlets, Westminster, Kensington_and_Chelsea"
14685880,Hazel,6,4,"Greenwich, Havering, Hackney, Barking_and_Dagenham"
148113174,Diogo,7,4,"Tower_Hamlets, Westminster, Camden, Hackney"
148362408,Nicolas,8,4,"Kensington_and_Chelsea, Camden, Westminster, Tower_Hamlets"
149362525,Short Let,56,4,"Westminster, Lambeth, Kensington_and_Chelsea, Camden"
152064486,Obi,27,4,"Tower_Hamlets, Westminster, Hammersmith_and_Fulham, Newham"
152312809,Daniele,21,4,"Tower_Hamlets, Hammersmith_and_Fulham, Islington, Southwark"
1525880,AW Team,31,4,"Camden, Tower_Hamlets, Southwark, Brent"
15298430,Leonardo,5,4,"Hammersmith_and_Fulham, Southwark, Hounslow, Wandsworth"
153229519,Ana Paula,30,4,"Camden, Tower_Hamlets, Westminster, Kensington_and_Chelsea"
153817493,Denny,7,4,"Camden, Hackney, Westminster, Islington"
154668690,Andrew,64,4,"Lambeth, Westminster, Kensington_and_Chelsea, Camden"
158840966,Myondonholidaylet,4,4,"Lewisham, Westminster, Barnet, Kensington_and_Chelsea"
158891383,Chris & Sam,6,4,"Islington, Camden, Brent, Hammersmith_and_Fulham"
159589483,Mark,5,4,"Westminster, Wandsworth, Camden, Southwark"
163007820,Ray,20,4,"Harrow, Barnet, Westminster, Hammersmith_and_Fulham"
163083341,Rokas,10,4,"Croydon, Islington, Tower_Hamlets, Newham"
163201187,Anna,19,4,"Tower_Hamlets, Islington, Camden, Kensington_and_Chelsea"
163577058,Iwona,22,4,"Haringey, Camden, Islington, Westminster"
16385381,Sara & Amir,4,4,"Richmond_upon_Thames, Tower_Hamlets, Wandsworth, Westminster"
165675868,Venus,56,4,"Westminster, Kensington_and_Chelsea, Hammersmith_and_Fulham, Camden"
166404314,Janine,18,4,"Kensington_and_Chelsea, Camden, Westminster, Islington"
166617599,Ben,40,4,"Wandsworth, Westminster, Barnet, Camden"
167517751,Janka,26,4,"Southwark, Westminster, Lambeth, Croydon"
17279844,Tijana,8,4,"Hammersmith_and_Fulham, Westminster, Southwark, City_of_London"
174572485,Timea,30,4,"Islington, Camden, Tower_Hamlets, City_of_London"
17539274,Zion,15,4,"Hammersmith_and_Fulham, Kensington_and_Chelsea, Ealing, Hounslow"
175623118,Amy,6,4,"Westminster, Ealing, Brent, Lewisham"
17911918,James,29,4,"City_of_London, Kensington_and_Chelsea, Westminster, Wandsworth"
179443372,London Accommodations,6,4,"Hackney, Kensington_and_Chelsea, Westminster, Tower_Hamlets"
18027936,Lee,14,4,"Kensington_and_Chelsea, Westminster, Hammersmith_and_Fulham, Wandsworth"
186031401,Sandra,15,4,"Westminster, Camden, Kensington_and_Chelsea, Hammersmith_and_Fulham"
190315203,Sanjay,9,4,"Harrow, Tower_Hamlets, Ealing, Greenwich"
193397414,Airme,5,4,"Wandsworth, Westminster, Southwark, Lambeth"
195155868,Louis And Magdalene,5,4,"Kensington_and_Chelsea, Islington, Westminster, Hammersmith_and_Fulham"
19583485,Lisa,10,4,"Islington, Southwark, Hammersmith_and_Fulham, Camden"
203941630,Ben,12,4,"Hammersmith_and_Fulham, Islington, City_of_London, Tower_Hamlets"
204242376,Dimitry,35,4,"Kensington_and_Chelsea, Hackney, Westminster, Camden"
208447001,Edward,8,4,"Westminster, Hammersmith_and_Fulham, Kensington_and_Chelsea, Ealing"
2090844,Michele,12,4,"Wandsworth, Lambeth, Camden, Lewisham"
209445285,Raquel & Rico,8,4,"Islington, Tower_Hamlets, Lambeth, Southwark"
21083998,Fabio,42,4,"Westminster, Tower_Hamlets, Camden, Kensington_and_Chelsea"
212199911,Nadia,4,4,"Camden, Islington, Kensington_and_Chelsea, Tower_Hamlets"
213343432,Lucas,12,4,"Tower_Hamlets, Hammersmith_and_Fulham, Wandsworth, Newham"
215869386,Steven,8,4,"Kensington_and_Chelsea, Islington, Southwark, Camden"
216472668,Flander,10,4,"Camden, Tower_Hamlets, Brent, Southwark"
219607756,Joe,11,4,"Islington, Hackney, Haringey, Camden"
22115472,Maya,11,4,"Westminster, Camden, Kensington_and_Chelsea, Hammersmith_and_Fulham"
221357332,Lavanda,16,4,"Kensington_and_Chelsea, Westminster, Brent, Islington"
222618341,M,6,4,"Islington, Hackney, Westminster, City_of_London"
224774243,Ines,13,4,"Westminster, Camden, Islington, Lewisham"
224967268,Jawad,34,4,"Tower_Hamlets, City_of_London, Islington, Greenwich"
226804666,Miroslav,53,4,"Southwark, Lewisham, Hammersmith_and_Fulham, Harrow"
227301069,Joshua,8,4,"Tower_Hamlets, Westminster, Camden, Hammersmith_and_Fulham"
228345224,Emily & The Air Peace Of Mind Team,17,4,"Kensington_and_Chelsea, Hammersmith_and_Fulham, Wandsworth, Westminster"
228900020,Will,6,4,"Ealing, Hammersmith_and_Fulham, Islington, Kensington_and_Chelsea"
230340424,Evgenia,8,4,"Wandsworth, Ealing, Tower_Hamlets, Islington"
2338892,Dany,27,4,"Camden, Islington, Tower_Hamlets, Hackney"
236261723,Curiosity London Accommodation!,45,4,"Westminster, Kensington_and_Chelsea, Lambeth, Camden"
237078220,Chris & Sam,4,4,"Hammersmith_and_Fulham, Wandsworth, Brent, Kensington_and_Chelsea"
23966399,Belal,12,4,"Brent, Westminster, Hammersmith_and_Fulham, Camden"
242487770,Anita,15,4,"Westminster, Camden, City_of_London, Tower_Hamlets"
24366999,Sole,16,4,"Camden, Kensington_and_Chelsea, Westminster, Wandsworth"
244157601,Dimitry,27,4,"Westminster, Kensington_and_Chelsea, Hackney, Camden"
24603454,Thomas,29,4,"Camden, Tower_Hamlets, Westminster, Kensington_and_Chelsea"
248034547,Rosetta,26,4,"Newham, Hammersmith_and_Fulham, Westminster, Tower_Hamlets"
